ORDER_ID,PLANTPRODCUST_ID,PORTCARRIER_ID,ORDER_DATE,MONTH_NUM,MONTH_NAME,QUARTER,YEAR
1447296447,59660,63253,0018-01-24,1,Jan,1,2018
1447158015,59660,63253,0018-07-06,7,Jul,3,2018
1447138899,59660,63253,0018-01-09,1,Jan,1,2018
1447363528,59660,63253,0018-02-21,2,Feb,1,2018
1447363981,59660,63253,0018-01-03,1,Jan,1,2018
1447351441,59660,63253,0018-04-14,4,Apr,2,2018
1447320236,59660,63253,0018-06-28,6,Jun,2,2018
1447158019,59660,63253,0018-05-28,5,May,2,2018
1447219341,59660,63253,0018-02-09,2,Feb,1,2018
1447398416,59660,63253,0018-08-08,8,Aug,3,2018
1447381679,59660,63253,0018-02-26,2,Feb,1,2018
1447170785,59660,63253,0018-09-18,9,Sep,3,2018
1447155056,59597,63253,0018-04-17,4,Apr,2,2018
1447257265,59597,63253,0018-08-29,8,Aug,3,2018
1447240989,59597,63253,0018-12-09,12,Dec,4,2018
1447257231,59597,63253,0018-11-25,11,Nov,4,2018
1447260653,59597,63253,0018-08-03,8,Aug,3,2018
1447139375,59597,63253,0018-05-10,5,May,2,2018
1447308590,59597,63253,0018-04-15,4,Apr,2,2018
1447191271,59597,63253,0018-05-05,5,May,2,2018
1447191284,60355,63253,0018-05-23,5,May,2,2018
1447352426,61326,63253,0018-02-10,2,Feb,1,2018
1447211829,62361,63253,0018-05-21,5,May,2,2018
1447232833,62361,63253,0018-05-23,5,May,2,2018
1447205081,60355,63253,0018-07-30,7,Jul,3,2018
1447365980,60980,63253,0018-01-19,1,Jan,1,2018
1447157118,60355,63253,0018-10-12,10,Oct,4,2018
1447398413,61326,63253,0018-03-27,3,Mar,1,2018
1447377319,61326,63253,0018-12-29,12,Dec,4,2018
1447257239,62361,63253,0018-11-06,11,Nov,4,2018
1447368959,60707,63253,0018-03-25,3,Mar,1,2018
1447308591,60355,63253,0018-09-30,9,Sep,3,2018
1447398479,61326,63253,0018-03-27,3,Mar,1,2018
1447377316,61326,63253,0018-02-02,2,Feb,1,2018
1447365993,60707,63253,0018-01-21,1,Jan,1,2018
1447223051,60355,63253,0018-12-29,12,Dec,4,2018
1447260686,62361,63253,0018-04-01,4,Apr,2,2018
1447299202,60355,63253,0018-05-31,5,May,2,2018
1447330061,61326,63253,0018-03-01,3,Mar,1,2018
1447260670,60355,63253,0018-09-24,9,Sep,3,2018
1447157119,62361,63253,0018-04-06,4,Apr,2,2018
1447205082,60355,63253,0018-04-23,4,Apr,2,2018
1447398412,60980,63253,0018-04-26,4,Apr,2,2018
1447257238,60355,63253,0018-08-22,8,Aug,3,2018
1447241003,60355,63253,0018-11-13,11,Nov,4,2018
1447398481,61326,63253,0018-08-20,8,Aug,3,2018
1447398420,60707,63253,0018-06-01,6,Jun,2,2018
1447308592,62361,63253,0018-07-28,7,Jul,3,2018
1447241005,62361,63253,0018-12-03,12,Dec,4,2018
1447191288,62361,63253,0018-01-14,1,Jan,1,2018
1447232831,60355,63253,0018-11-07,11,Nov,4,2018
1447377317,60980,63253,0018-02-11,2,Feb,1,2018
1447211552,60355,63253,0018-07-26,7,Jul,3,2018
1447257266,60355,63253,0018-09-12,9,Sep,3,2018
1447365979,61326,63253,0018-12-03,12,Dec,4,2018
1447299203,62361,63253,0018-05-01,5,May,2,2018
1447257425,60396,63253,0018-06-07,6,Jun,2,2018
1447260633,60396,63253,0018-07-04,7,Jul,3,2018
1447296448,62188,63253,0018-08-22,8,Aug,3,2018
1447363577,62188,63253,0018-03-29,3,Mar,1,2018
1447320237,62188,63253,0018-01-28,1,Jan,1,2018
1447202431,62188,63253,0018-06-10,6,Jun,2,2018
1447211553,62188,63253,0018-03-03,3,Mar,1,2018
1447219352,62188,63253,0018-06-28,6,Jun,2,2018
1447320235,62188,63253,0018-05-18,5,May,2,2018
1447158020,62188,63253,0018-02-26,2,Feb,1,2018
1447260609,62188,63253,0018-07-14,7,Jul,3,2018
1447158014,62188,63253,0018-06-01,6,Jun,2,2018
1447191275,62188,63253,0018-05-23,5,May,2,2018
1447170786,62188,63253,0018-05-06,5,May,2,2018
1447138897,62188,63253,0018-03-30,3,Mar,1,2018
1447240999,62188,63253,0018-04-02,4,Apr,2,2018
1447320234,62188,63253,0018-06-28,6,Jun,2,2018
1447351442,62188,63253,0018-07-29,7,Jul,3,2018
1447381680,62188,63253,0018-01-15,1,Jan,1,2018
1447178728,62188,63253,0018-08-23,8,Aug,3,2018
1447398417,62188,63253,0018-10-21,10,Oct,4,2018
1447191280,59880,63253,0018-02-14,2,Feb,1,2018
1447308639,63056,63253,0018-03-10,3,Mar,1,2018
1447155061,63056,63253,0018-10-01,10,Oct,4,2018
1447155063,63056,63253,0018-07-25,7,Jul,3,2018
1447260619,63056,63253,0018-07-03,7,Jul,3,2018
